experiment,hour,date,device_make,platform_os,response
1,15,1,13,6,0
0,14,5,43,6,0
0,5,0,13,6,1
1,7,6,65,6,0
1,15,2,13,6,0
0,7,1,13,6,1
0,15,6,64,6,1
1,15,1,76,6,1
1,21,2,13,6,1
0,10,4,13,6,1
0,10,0,5,6,0
1,0,6,13,6,1
0,21,5,13,6,0
0,15,1,13,6,1
1,20,5,13,6,0
1,18,5,13,6,1
0,21,0,13,6,1
1,15,7,13,6,0
1,15,5,13,6,0
1,21,5,13,6,1
1,18,5,13,6,0
1,6,2,13,6,0
0,4,2,68,6,0
0,15,5,13,6,1
0,15,0,43,6,0
1,16,5,47,6,1
0,4,0,21,6,0
1,19,1,46,6,1
1,13,2,13,6,0
0,15,0,66,6,0
1,9,5,13,6,1
0,15,0,13,6,0
1,15,6,48,6,0
0,7,0,68,6,1
0,15,2,13,6,1
0,15,6,13,6,0
1,11,6,13,6,0
0,15,5,66,6,0
0,0,4,13,6,1
0,21,7,72,6,1
1,19,0,44,6,1
0,15,0,64,6,0
1,17,0,13,6,1
1,15,5,13,6,1
1,15,7,13,6,1
0,6,0,13,6,1
1,13,6,13,6,1
0,12,0,56,6,1
1,18,1,13,6,0
0,3,7,13,6,1
0,20,0,29,6,0
0,4,0,81,6,0
1,9,1,88,6,1
0,15,0,13,6,1
1,15,7,61,6,0
0,15,0,13,6,0
1,15,3,33,6,1
1,11,5,13,6,1
0,5,3,26,6,1
1,9,4,13,6,0
0,15,5,13,6,0
0,8,0,13,6,0
1,15,1,13,6,0
1,10,6,66,6,1
0,15,0,66,6,0
1,5,4,47,6,1
0,7,2,13,6,1
1,1,6,13,6,1
1,3,1,68,6,1
1,7,1,27,6,1
1,15,7,13,6,0
1,4,3,48,6,0
0,20,1,86,6,0
1,20,0,27,6,0
0,21,0,73,6,1
1,5,1,13,6,0
0,20,0,13,6,1
0,17,7,13,6,0
1,5,2,69,6,1
0,22,7,13,6,1
1,4,6,27,6,0
1,17,6,13,6,1
1,0,1,13,6,1
0,15,0,64,6,1
1,19,6,13,6,0
0,8,0,13,6,1
0,6,0,13,6,0
0,9,4,13,6,1
1,1,5,62,6,1
0,12,6,13,6,1
0,18,6,13,6,0
1,10,7,41,6,1
1,2,5,13,5,0
0,10,7,13,6,0
0,9,3,13,6,1
1,7,6,77,6,1
1,15,6,13,6,0
0,15,0,65,6,1
1,15,0,13,6,1
1,18,1,13,6,1
1,15,3,13,6,0
1,6,5,21,6,1
0,11,0,54,6,1
0,6,0,36,6,0
1,4,2,90,6,1
1,15,5,13,6,1
1,15,6,13,6,0
1,15,6,13,6,1
0,11,1,13,6,1
1,2,5,68,6,0
0,10,0,13,6,1
0,15,7,13,6,0
1,15,2,66,6,1
1,3,1,13,6,1
1,15,0,13,6,0
0,20,0,55,6,1
0,15,7,26,6,1
1,15,7,5,6,0
1,12,3,71,6,0
1,8,6,13,6,0
0,15,0,33,6,0
0,19,2,13,6,1
1,15,7,73,6,1
0,16,0,13,6,1
0,15,0,66,6,0
0,5,1,71,6,0
1,15,1,13,6,1
1,7,6,68,6,0
1,5,6,113,6,0
1,10,5,13,6,0
0,15,1,13,6,0
1,12,6,13,6,0
0,16,6,13,6,0
0,14,0,13,6,0
1,15,6,68,6,0
1,15,1,13,6,0
0,6,7,1,6,0
0,15,4,67,6,0
0,15,7,72,6,1
0,4,4,13,6,0
0,5,5,21,6,0
0,9,7,13,6,0
1,1,0,87,6,0
0,14,0,13,6,0
0,8,0,1,6,0
0,9,7,13,6,0
0,17,0,78,6,1
0,20,5,47,6,1
0,15,0,47,6,0
0,16,0,13,6,1
1,6,2,13,6,0
1,12,5,13,6,1
1,15,2,18,6,0
0,10,7,54,6,0
1,6,0,13,6,1
1,9,0,54,6,0
0,6,5,13,6,0
0,15,4,13,6,0
1,14,0,13,6,0
1,14,5,13,6,1
0,17,7,46,6,0
0,20,5,72,6,1
1,7,4,68,6,0
1,21,6,75,6,1
0,15,0,13,6,1
1,18,2,27,6,0
1,12,3,13,6,0
1,2,3,13,6,1
1,14,3,13,6,0
1,15,0,13,6,1
0,12,0,71,6,0
1,22,2,13,6,0
1,0,2,13,6,0
1,3,1,13,5,1
0,15,6,13,6,1
0,2,0,46,6,1
0,20,0,13,6,0
1,13,5,13,6,1
0,5,2,13,6,1
0,15,0,13,6,1
1,3,6,13,6,0
1,17,5,21,6,1
1,7,5,13,6,1
0,0,0,13,6,1
1,18,4,13,6,1
1,5,4,13,6,0
0,1,0,72,6,0
0,2,5,47,6,1
0,5,0,13,6,0
1,1,0,13,6,0
1,15,7,64,6,0
0,9,0,64,6,0
1,15,0,13,6,0
1,17,1,13,6,0
1,2,1,13,6,1
1,19,1,13,6,1
0,4,1,66,6,0
1,15,6,13,6,1
0,14,4,13,6,0
0,11,6,68,6,1
0,11,0,13,6,1
1,8,0,13,6,0
0,15,1,114,6,0
0,8,0,41,6,0
1,11,2,72,6,0
0,13,1,53,6,0
0,15,6,13,6,0
0,10,0,13,6,1
0,15,0,24,6,0
1,15,2,86,6,0
1,21,5,13,6,0
1,7,3,93,6,0
1,21,5,100,6,1
0,10,1,68,6,1
0,16,0,45,6,0
0,15,1,72,6,1
0,8,0,72,6,0
1,14,3,13,6,0
1,10,2,66,6,1
1,13,1,26,6,1
0,21,1,13,6,1
1,13,5,13,6,1
0,1,0,13,6,1
0,6,2,68,6,1
0,15,1,13,6,0
0,15,4,13,6,1
0,12,0,13,6,1
0,10,7,13,6,1
0,15,6,71,6,0
0,11,2,73,6,1
0,15,0,64,6,0
0,9,0,13,6,0
1,15,3,13,6,1
0,15,1,108,6,1
0,20,3,76,6,0
1,3,1,5,6,0
0,14,7,6,6,1
1,12,7,13,5,0
1,3,0,13,5,1
1,22,6,49,6,0
0,20,0,13,6,1
1,0,6,13,6,0
0,6,2,23,6,0
0,9,6,13,5,1
0,17,3,43,6,1
0,6,0,13,6,1
1,9,2,114,6,0
0,11,7,72,6,0
0,8,3,13,6,1
1,15,1,26,6,0
1,6,4,13,6,1
1,13,0,13,6,1
1,15,2,73,6,0
1,3,0,13,6,0
1,15,6,13,6,1
1,15,0,73,6,1
1,12,0,56,6,0
0,5,1,13,6,0
1,1,5,13,6,1
0,19,6,13,6,0
0,14,5,13,6,0
0,9,5,13,6,0
1,6,4,13,6,1
0,2,7,42,6,1
0,16,2,13,6,0
1,15,1,69,6,1
0,3,5,13,6,0
0,15,0,13,6,0
1,21,2,13,6,0
0,15,5,43,5,0
1,17,3,13,6,0
1,9,7,13,6,1
1,1,0,62,6,0
1,6,5,13,6,0
0,13,1,68,6,1
0,18,6,13,6,0
1,8,7,15,6,0
0,6,5,64,6,1
0,10,0,13,6,1
1,13,2,13,6,1
1,15,7,13,6,0
1,5,3,19,6,0
1,0,0,0,6,0
1,3,6,81,6,1
0,5,2,13,6,1
1,10,1,21,6,0
1,14,5,13,6,0
1,4,5,13,6,0
0,14,6,13,6,0
1,15,5,24,6,1
0,9,0,48,6,0
1,20,0,13,6,1
1,13,6,13,6,0
1,8,7,13,6,1
1,17,5,13,6,1
1,8,5,13,6,1
1,10,0,43,6,0
0,5,0,13,6,1
0,14,0,13,6,0
1,9,4,13,6,0
1,19,4,13,6,0
0,20,6,13,6,1
1,5,7,13,6,0
0,16,6,13,6,1
0,13,7,68,6,0
0,14,6,66,6,0
0,7,2,74,6,0
1,6,4,42,6,1
1,15,1,66,6,0
0,9,1,21,6,0
0,18,6,83,6,0
1,15,1,88,6,1
1,7,5,26,6,0
1,10,4,13,6,1
1,14,1,13,6,1
0,10,1,13,6,1
0,6,7,64,6,1
0,15,0,13,6,0
0,0,0,13,6,0
0,10,6,20,6,1
1,15,5,61,6,1
1,7,5,13,6,0
1,20,5,13,6,1
0,8,3,13,6,0
0,22,2,13,6,1
0,15,0,13,6,1
1,12,1,69,6,0
0,3,4,13,6,0
1,8,5,68,6,1
0,19,0,13,6,1
1,12,1,13,6,0
1,15,6,13,6,0
1,12,2,13,6,1
0,15,1,52,6,0
1,11,3,13,6,0
1,15,5,66,6,1
0,21,0,13,6,1
1,22,0,109,6,0
1,13,5,66,6,0
0,6,7,13,6,1
1,17,6,68,6,1
1,20,5,13,6,0
0,12,3,27,6,0
1,6,7,13,6,1
0,15,0,13,6,1
1,6,4,13,6,1
1,2,1,13,6,0
0,17,7,41,6,0
0,16,6,68,6,0
0,13,1,13,6,0
1,12,1,10,6,0
0,14,0,68,6,0
0,12,0,13,6,1
1,15,5,13,6,0
0,22,6,114,6,1
1,1,0,13,6,0
1,4,7,13,6,1
1,13,6,69,6,1
0,14,7,36,6,0
1,10,6,53,6,1
0,13,2,13,6,1
1,18,2,13,6,1
1,13,7,73,6,0
1,15,5,13,6,0
1,17,5,66,6,0
1,16,5,13,6,1
0,2,6,42,6,0
0,3,5,42,6,0
0,9,0,13,6,0
1,7,6,13,6,0
0,1,4,13,6,1
0,20,7,21,6,1
0,15,2,67,6,1
1,16,5,13,6,1
0,11,0,47,6,0
1,17,5,13,6,1
1,0,4,13,6,1
1,15,2,13,6,0
1,19,1,30,6,1
1,0,0,13,6,1
0,20,6,43,6,1
1,1,5,13,6,0
1,15,1,13,6,0
1,20,0,13,6,1
1,10,5,13,6,1
0,4,0,13,6,1
1,9,6,13,6,1
1,3,0,98,6,1
0,15,3,36,6,1
1,20,5,13,6,1
0,8,0,42,6,0
1,15,0,13,6,0
1,2,2,68,6,0
1,20,7,13,6,1
1,8,6,37,6,1
1,23,2,13,6,1
1,15,5,68,6,0
0,15,5,13,6,0
1,7,4,97,6,1
0,15,1,21,6,1
1,2,7,13,6,1
0,21,4,13,6,1
0,12,6,48,6,0
1,15,0,13,6,1
0,15,2,13,6,0
1,9,7,43,6,1
1,12,5,13,6,1
1,11,6,13,6,1
0,10,0,13,6,1
1,9,2,13,6,1
1,12,3,13,6,0
1,5,1,73,5,0
0,21,0,13,6,0
1,20,5,13,6,0
0,15,1,13,6,1
1,15,3,13,6,1
1,8,1,69,6,1
0,5,6,43,6,0
1,21,4,13,6,0
0,21,1,13,6,1
1,7,6,13,6,1
1,15,0,31,6,0
1,15,1,1,6,0
1,12,5,13,6,0
1,15,0,71,6,0
1,17,0,60,6,0
1,11,1,13,5,1
0,21,0,54,6,1
0,19,4,13,6,0
1,10,6,13,6,0
1,4,1,86,6,1
0,15,0,13,6,1
0,13,5,13,6,1
0,5,6,68,6,0
1,3,4,13,6,0
1,4,7,13,6,0
1,18,5,79,6,0
0,15,4,64,6,0
1,22,2,13,6,0
1,1,0,13,6,0
0,15,3,13,6,1
0,2,5,13,6,0
0,9,6,68,6,0
1,13,4,13,6,0
1,3,6,68,6,0
0,19,7,33,6,0
1,10,5,69,6,1
1,8,3,13,6,1
1,15,0,13,6,0
0,16,0,64,6,1
0,11,5,13,6,1
0,10,5,104,6,0
1,15,1,13,6,1
0,17,2,13,6,1
1,15,6,16,6,0
1,16,3,66,6,1
1,19,6,45,6,0
0,15,6,13,6,0
0,20,0,52,6,0
1,20,2,13,6,1
1,19,6,13,6,0
1,2,0,13,6,0
1,15,6,13,6,0
1,5,5,48,6,1
0,14,2,13,6,1
0,5,1,13,6,0
0,20,4,13,6,1
0,0,0,13,6,0
1,15,0,13,6,0
1,8,3,62,6,1
1,7,0,28,6,1
1,15,1,11,6,0
1,15,2,86,6,1
0,4,0,13,6,1
1,2,4,36,6,1
1,8,0,52,6,1
1,4,3,13,6,1
1,5,2,43,6,0
0,11,0,65,6,1
0,2,6,13,6,0
1,8,4,13,6,0
1,15,4,53,6,0
1,10,5,13,6,1
1,14,0,13,6,1
0,19,5,13,6,1
1,11,1,13,6,1
1,18,3,13,6,1
0,15,1,13,6,1
0,7,0,13,6,1
0,0,1,13,6,0
0,8,5,8,6,1
0,15,0,13,6,1
0,8,6,114,6,0
0,14,5,13,6,0
0,3,1,13,6,1
1,15,2,21,6,1
1,8,6,67,6,1
0,10,5,13,6,0
0,16,7,13,6,0
0,7,0,77,6,1
1,14,1,13,6,0
1,5,5,97,6,0
0,20,6,32,6,0
0,0,4,13,6,0
0,9,1,71,6,1
1,9,6,71,6,1
1,2,5,13,6,0
1,6,6,13,6,1
1,18,0,84,6,1
1,0,6,13,6,1
0,15,0,13,6,0
1,10,2,48,6,1
1,8,7,69,6,0
1,19,7,13,6,1
0,0,4,65,6,0
1,15,0,13,6,0
1,19,3,37,6,0
0,18,3,13,6,1
0,16,1,114,6,1
0,15,0,76,6,1
1,20,3,26,6,1
0,9,0,69,6,1
1,5,7,94,6,0
1,15,2,13,6,0
0,20,0,23,6,0
